+----------------+---------------+
| billingcountry | country_sales |
+----------------+---------------+
| Germany        |        156.48 |
| Norway         |         39.62 |
| Belgium        |         37.62 |
| Canada         |        303.96 |
| USA            |        523.06 |
| France         |        195.10 |
| Ireland        |         45.62 |
| United Kingdom |        112.86 |
| Australia      |         37.62 |
| Chile          |         46.62 |
| India          |         75.26 |
| Brazil         |        190.10 |
| Portugal       |         77.24 |
| Netherlands    |         40.62 |
| Spain          |         37.62 |
| Sweden         |         38.62 |
| Czech Republic |         90.24 |
| Finland        |         41.62 |
| Denmark        |         37.62 |
| Italy          |         37.62 |
| Poland         |         37.62 |
| Austria        |         42.62 |
| Hungary        |         45.62 |
| Argentina      |         37.62 |
+----------------+---------------+
